;x;x;MaxLength;Trophic Level;Trophic group;Water column;Diel Activity;Habitat;Gregariousness;comments
79;Kyphosus vaigiensis;Kyphosus vaigiensis;70;2;Browsing herbivore;pelagic site attached;Day;coral;3;
80;LETHRINIDAE;LETHRINIDAE;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
81;Lethrinus elongatus *;Lethrinus microdon;80;3,8;Benthic invertivore;Demersal;Day;coral;1;changed
82;Lethrinus harak;Lethrinus harak;50;3,6;Benthic invertivore;Demersal;Day;coral;1;
83;Lethrinus lentjan;Lethrinus lentjan;52;4,2;Higher carnivore;Demersal;Day;coral;1;
84;Lethrinus mahsena;Lethrinus mahsena;65;3,4;Benthic invertivore;Demersal;Day;coral;0;
85;Lethrinus mahsenoides *;Lethrinus lentjan;52;4,2;Higher carnivore;Demersal;Day;coral;1;changed
86;Lethrinus nebulosus;Lethrinus nebulosus;87;3,3;Benthic invertivore;Demersal;Day;coral;1;
87;Lethrinus ramak;Lethrinus obsoletus;60;3,4;Benthic invertivore;Demersal;Day;coral;1;changed
88;Lethrinus xanthochilus;Lethrinus xanthochilus;70;3,7;Benthic invertivore;Demersal;Day;coral;1;
89;Lutjanus argentimaculatus;Lutjanus argentimaculatus;150;3,6;Higher carnivore;Demersal;Day;coral;2;
90;Lutjanus bohar;Lutjanus bohar;90;4,1;Higher carnivore;Demersal;Day;coral;2;
91;Lutjanus cf  fluviflamma;Lutjanus fulviflamma;35;3,8;Higher carnivore;Demersal;Day;coral;2;
92;Lutjanus coccineus *;Lutjanus gibbus;50;3,6;Higher carnivore;Demersal;Day;coral;2;
93;Lutjanus ehrenbergii;Lutjanus ehrenbergii;35;4,4;Higher carnivore;Demersal;Day;coral;2;
94;Lutjanus fulviflamma;Lutjanus fulviflamma;35;3,8;Higher carnivore;Demersal;Day;coral;2;
95;Lutjanus gibbus;Lutjanus gibbus;50;3,6;Higher carnivore;Demersal;Day;coral;2;
96;Lutjanus kasmira;Lutjanus kasmira;40;3,6;Benthic invertivore;Demersal;Day;coral;2;
97;Lutjanus malabaricus;Lutjanus malabaricus;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
98;Lutjanus monostigma;Lutjanus monostigma;60;4,3;Higher carnivore;Demersal;Day;coral;2;
99;Lutjanus rivulatus;Lutjanus rivulatus;80;4,1;Higher carnivore;Demersal;Day;coral;2;
100;Lutjanus sebae;Lutjanus sebae;116;4,3;Higher carnivore;Demersal;Day;coral;2;
101;Lutjanus sp.;Lutjanus sp.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
102;Macolor niger;Macolor niger;75;3,995744681;Benthic invertivore;Demersal;Day;coral;2;
103;Monotaxis grandoculis;Monotaxis grandoculis;60;3,2;Benthic invertivore;Demersal;Day;coral;2;
104;Mugil bananensis;Mugil bananensis;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
105;Mulloides flavolineatus;Mulloidichthys flavolineatus;43;3,3;Benthic invertivore;Demersal;Day;sand;3;name
106;Mulloides vanicolensis;Mulloidichthys vanicolensis;38;3,6;Benthic invertivore;Demersal;Day;sand;3;name
107;Myripristis murdjan;Myripristis murdjan;60;3,3;Planktivore;Demersal;Night;coral;2;
108;Naso hexacanthus;Naso hexacanthus;75;3,3;Planktivore;Demersal;Day;coral;3;
109;Naso lituratus;Naso lituratus;46;2,3;Browsing herbivore;Demersal;Day;coral;1;
110;No catch;No catch;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
111;NO CATCH;NO CATCH;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
112;Paracaesio sordius;Paracaesio sordida;48;2,8;Planktivore;pelagic site attached;Day;coral;3;name
113;Platax boersi;Platax boersii;57,5;3,55;Benthic invertivore;pelagic site attached;Day;Coral;2;name
114;Platax orbicularis;Platax orbicularis;50;3,3;Benthic invertivore;Demersal;Day;coral;2;
115;Plectorhinchus gaterinus;Plectorhinchus gaterinus;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
116;Plectorhinchus pictus;Plectorhinchus picus;84;3,9;Benthic invertivore;Demersal;Night;coral;1;Have done as though you mean P. picus, but P. pictus is otherwise now Diagramma pictus
117;Plectorhynchus pictus;Plectorhinchus picus;84;3,9;Benthic invertivore;Demersal;Night;coral;1;Have done as though you mean P. picus, but P. pictus is otherwise now Diagramma pictus
118;Plectorhynchus schotaf;Plectorhinchus schotaf;80;3,8;Benthic invertivore;Demersal;Night;Coral;1;
119;Plectropomus pessuliferus;Plectropomus pessuliferus;120;4,3;Higher carnivore;Demersal;Day;coral;1;
120;Priacanthus hamrur;Priacanthus hamrur;45;3,6;Benthic invertivore;Demersal;Night;coral;2;
121;Pristipomoides multidens;Pristipomoides multidens;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
122;Pseudobalistes flavimarginatus;Pseudobalistes flavimarginatus;60;3,4;Benthic invertivore;Demersal;Day;coral;1;
123;Rastrelliger kanagurta;Rastrelliger kanagurta;35;3,2;Higher carnivore;pelagic non-site attached;Day;coral;3;
124;Sarda orientalis;Sarda orientalis;102;4,2;Higher carnivore;pelagic non-site attached;Day;coral;3;
125;Sargocentron spiniferum;Sargocentron spiniferum;51;3,5;Benthic invertivore;Demersal;Night;coral;1;
126;Scarus ferrugineus;Scarus ferrugineus;41;2;Scraping herbivore;Demersal;Day;coral;2;
127;Scarus frenatus;Scarus frenatus;47;2;Scraping herbivore;Demersal;Day;coral;2;
128;Scarus ghobban;Scarus ghobban;90;2;Scraping herbivore;Demersal;Day;coral;2;
129;Scomber japonicus;Scomber japonicus;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
130;Scomberoides lysan;Scomberoides lysan;110;4,5;Higher carnivore;pelagic non-site attached;Day;coral;2;
131;Scomberoides tol;Scomberoides tol;110;4,5;Higher carnivore;pelagic non-site attached;Day;Coral;2;
132;Scomberomorus commerson;Scomberomorus commerson;240;4,5;Higher carnivore;pelagic non-site attached;Day;coral;2;
133;Scomberomorus lineolatus;Scomberomorus lineolatus;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
134;Scomberomorus tritor;Scomberomorus tritor;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
135;Siganus argenteus;Siganus argenteus;40;2;Browsing herbivore;Demersal;Day;coral;2;
136;Siganus luridus;Siganus luridus;30;2;Browsing herbivore;Demersal;Day;coral;2;
137;Siganus rivulatus;Siganus rivulatus;27;0;Browsing herbivore;benthic;Day;rock;2;
138;Siganus stellatus;Siganus stellatus;40;2,7;Browsing herbivore;Demersal;Day;coral;2;
139;Sparus sp.;Sparus sp.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
140;Sphyraena forsteri;Sphyraena forsteri;75;4,3;Higher carnivore;pelagic non-site attached;Day;coral;3;
141;Sphyraena jello;Sphyraena jello;150;4,5;Higher carnivore;pelagic non-site attached;Day;coral;0;
142;Sphyraena putnamie;Sphyraena putnamae;90;4,5;Higher carnivore;pelagic non-site attached;Day;rock;3;name
143;Sphyraena qenie;Sphyraena qenie;170;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;
144;Sphyrna lewini;Sphyrna lewini;430;4,1;Higher carnivore;pelagic non-site attached;Day;coral;2;
145;Taeniura lymma;Taeniura lymma;35;3,6;Benthic invertivore;benthic;Day;sand;1;
146;Terapon jarbua;Terapon jarbua;36;3,9;Benthic invertivore;Demersal;Day;Sand;2;
147;Thunnus albacares;Thunnus albacares;239;4,3;higher carnivore;pelagic non-site attached;Day;coral;0;
148;Triaenodon obesus;Triaenodon obesus;213;4,2;Higher carnivore;pelagic non-site attached;Day;coral;1;
149;Tylosurus acus rafale;Tylosurus acus rafale;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
150;Tylosurus choram;Tylosurus choram;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
151;Tylosurus crocodilus crocodil.;Tylosurus crocodilus;150;4,266666667;Higher carnivore;pelagic non-site attached;Day;sand;2;
152;Tylosurus crocodilus fodiator;Tylosurus crocodilus fodiator;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
153;Valamugil engeli;Osteomugil engeli;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
154;Valamugil seheli;Osteomugil engeli;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
155;Variola louti;Variola louti;83;4,3;Higher carnivore;Demersal;Day;coral;1;
