no;x1;x2;MaxLength;Trophic Level;Trophic group;Water column;Diel Activity;Habitat;Gregariousness;comments;Eo Comments
46;Cheilinus lunulatus;Cheilinus lunulatus;50;3,6;Benthic invertivore;Demersal;Day;coral;1;no comment;no comment
47;Cheilinus quinquecintus;Cheilinus fasciatus;40;3,4;Benthic invertivore;Demersal;Day;coral;1;Cheilinus quinquecinctus has been grouped back in as C. fasciatus;no comment
48;Chirocentrus dorab;Chirocentrus dorab;100;4,4;Higher carnivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;no comment
49;Chorinemus lysan;Scomberoides lysan;110;4,5;Higher carnivore;pelagic non-site attached;Day;coral;2;Genus changed;no comment
50;Cociella crocodila;Cociella crocodilus;50;3,9;Higher carnivore;Benthic;#N/A;#N/A;#N/A;no comment;fishbase & Google
51;Crenimugil crenilabis;Crenimugil crenilabis;60;2,3;Browsing herbivore;pelagic site attached;Day;sand;3;no comment;no comment
52;Decapterus macarellus;Decapterus macarellus;46;3,4;Higher carnivore;pelagic non-site attached;Day;coral;3;no comment;no comment
53;Decapterus russelli;Decapterus russelli;45;3,7;Planktivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;fishbase
54;Diagramma pictum;Diagramma pictum;90;3,6;Benthic invertivore;Demersal;Night;coral;1;no comment;no comment
55;Diodon hystrix;Diodon hystrix;91;3,4;Benthic invertivore;Demersal;Day;coral;1;no comment;no comment
56;Echeneis naucrates;Echeneis naucrates;110;3,4;Higher carnivore;pelagic non-site attached;Day;coral;2;no comment;no comment
57;Elagatis bipinnulata;Elagatis bipinnulata;180;3,6;Higher carnivore;pelagic non-site attached;Day;coral;3;no comment;no comment
58;Epinephelus chlorostigma;Epinephelus chlorostigma;80;4;Higher carnivore;Demersal;#N/A;#N/A;#N/A;no comment;fishbase
59;Epinephelus fuscoguttatus;Epinephelus fuscoguttatus;120;4,1;Higher carnivore;Demersal;Day;coral;1;no comment;no comment
60;Epinephelus microdon;Epinephelus polyphekadion;90;3,9;Higher carnivore;Demersal;Day;coral;1;changed;no comment
61;Epinephelus sexfasciatus;Epinephelus sexfasciatus;40;3,8;Higher carnivore;Demersal;#N/A;#N/A;#N/A;no comment;no comment
62;Epinephelus summana;Epinephelus summana;52;3,8;Higher carnivore;Demersal;#N/A;#N/A;#N/A;no comment;no comment
63;Epinephelus tauvina;Epinephelus tauvina;75;4,1;Higher carnivore;Demersal;Day;coral;1;no comment;no comment
64;Euthynnus affinis;Euthynnus affinis;100;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;no comment;no comment
66;Gerres oyena;Gerres oyena;30;2,7;Benthic invertivore;demersal;#N/A;#N/A;#N/A;no comment;no comment
67;Grammatorcynus bicarinatus;Grammatorcynus bicarinatus;112;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;no comment;no comment
68;Grammatorcynus bilineatus;Grammatorcynus bilineatus;100;4,2;Higher carnivore;pelagic non-site attached;Day;coral;2;no comment;no comment
69;Gymnocranius grandoculis;Gymnocranius grandoculis;80;3,8;Benthic invertivore;Demersal;Day;sand;1;no comment;no comment
