survey;station;species;sequence;length;weight;sex;maturity;gonadweight;stomachfullness;stomachweight;otolith;bdep;lon;lat
2013002;38;LUTLU06;1;38;700;F;1;1;4;21;0;13;38,162;18,84233333
2013002;38;SERAE01;1;40;1230;F;5;35;4;34;0;13;38,162;18,84233333
2013002;39;LUTLU04;2;39;820;F;3;13;0;4;0;27;38,1605;18,85233333
2013002;39;LUTLU04;1;36;600;F;1;4;4;27;0;27;38,1605;18,85233333
2013002;40;LETLE05;1;37;600;M;1;4;4;16;0;25;38,16083333;18,8535
2013002;40;LUTLU04;1;42;1000;M;4;14;4;24;0;25;38,16083333;18,8535
2013002;45;LETLE05;2;51;1580;F;2;2;4;7;0;20;38,17966667;18,8105
2013002;45;LETLE05;1;37,5;520;F;2;5;0;5;0;20;38,17966667;18,8105
2013002;47;LUTLU18;1;21,5;140;M;2;1;0;2;0;0;38,16716667;18,79466667
2013002;47;SEREP17;1;47;1300;F;2;9;0;18;0;0;38,16716667;18,79466667
2013002;47;SEREP17;2;39,5;840;F;5;40;0;12;0;0;38,16716667;18,79466667
2013002;48;LUTLU06;1;53;2110;M;1;4;4;21;0;7,5;38,50283333;18,74766667
2013002;49;ACAAC15;1;37;690;M;3;4;0;9;0;12;38,5065;18,73983333
2013002;49;ACAAC15;2;39;850;F;4;15;0;18;0;12;38,5065;18,73983333
2013002;49;BALBS01;1;41;1600;M;1;1;3;12;0;12;38,5065;18,73983333
2013002;49;HOLSA03;1;38;860;M;2;5;4;40;0;12;38,5065;18,73983333
2013002;49;LETLE05;1;64;2860;F;3;22;0;42;0;12;38,5065;18,73983333
2013002;49;LUTLU04;1;40;770;M;2;5;0;15;0;12;38,5065;18,73983333
2013002;49;LUTLU06;1;49;1620;F;4;39;0;29;0;12;38,5065;18,73983333
2013002;50;HOLSA03;1;38;780;M;1;2;4;14;0;42;38,5065;18,73916667
2013002;50;LUTLU04;1;32,5;440;F;3;8;0;6;0;42;38,5065;18,73916667
2013002;50;LUTLU04;2;36;640;M;0;0;6;0;0;42;38,5065;18,73916667
2013002;51;LUTLU06;1;42;1400;F;2;8;4;10;0;46;38,50116667;18,73316667
2013002;53;HOLSA03;1;36,5;720;M;1;1;0;14;0;55;38,49933333;18,7315
2013002;53;LUTLU04;1;32,5;580;F;3;12;4;23;0;55;38,49933333;18,7315
2013002;54;LUTLU06;1;58;3600;F;2;4;0;72;0;82;38,49816667;18,7295
2013002;57;LUTLU06;1;68;4740;M;3;12;4;98;0;25;38,48116667;18,73466667
2013002;59;SHACAB1;1;126;13040;F;0;314;0;208;0;20;38,509;18,748
2013002;60;LUTLU06;1;55;2470;F;2;6;4;41;0;16;38,5;18,74533333
2013002;62;HOLSA03;1;39;890;M;2;3;2;22;0;15;38,49983333;18,74366667
2013002;62;SEREP12;1;60;3890;F;5;72;4;141;0;15;38,49983333;18,74366667
2013002;63;LUTLU04;1;32;430;F;3;5;4;9;0;23;38,49983333;18,74366667
2013002;63;LUTLU06;2;56;2860;M;3;20;4;93;0;23;38,49983333;18,74366667
2013002;63;LUTLU06;1;47;1550;M;2;6;4;37;0;23;38,49983333;18,74366667
